sual,cavab
"Biznes əməliyyatından əldə edilən mənfəət 2 biznes tərəfdaşı Mayk və Conson arasında müvafiq olaraq 2:5 nisbətində bölüşdürülür. Əgər Conson 2500 dollar əldə edibsə, Maykın payının bir hissəsi 200 dollarlıq köynəyə xərcləndikdən sonra nə qədər pulu qalacaq?"," Nisbətə görə, Consonun aldığı hər 5 hissə üçün Mayk 2 hissə alır. Conson 2500 dollar aldığı üçün hər hissə 2500 dollar/5 = $<<2500/5=500>>500 Mayk 2*500 dollar = $<<2*500=1000>>1000 alacaq. Köynəyi aldıqdan sonra onun 1000-200 dolları = $<<1000-200=800>>800 dolları qalacaq #### 800"
" Yük maşınında 26 çəhrayı papaq, 15 yaşıl papaq və 24 sarı papaq var. Əgər Karl 4 çəhrayı papaq, Con isə 6 çəhrayı papaq və çıxardığı çəhrayı papaqların sayından iki dəfə çox yaşıl papaq götürərsə, yük maşınında qalan papaqların ümumi sayını hesablayın.","Əgər 26 çəhrayı şapka varsa və Karl 4 çəhrayı şapka götürsə, qalan çəhrayı şapkaların sayı 26-4 = <<26-4=22>>22 Con da 6 çəhrayı şapka götürüb, yük maşınında 22-6 = <<22-6=16>>16 çəhrayı şapka qalıb. Əgər Con da çəhrayı şapkalardan iki dəfə çox yaşıl şapka götürübsə, 2*6 = <<6*2=12>>12 yaşıl şapka götürüb. Yük maşınında qalan yaşıl şapkaların ümumi sayı 15-12 = <<15-12=3>>3-dür. Yük maşınında, bəziləri götürüldükdən sonra, 3 yaşıl şapka + 16 çəhrayı şapka = <<3+16=19>>19 şapka qalıb. Ümumilikdə, 19 yaşıl və çəhrayı şapka + 24 sarı şapka = <<19+24=43>>43 şapka qalıb #### 43"
" Rok işə piyada getmək üçün iki saat, velosipedlə getmək üçün isə bir saat vaxt sərf edir. Rok həftədə üç dəfə işə piyada gedib-gəlir, həftədə iki dəfə isə işə velosipedlə gedib-gəlir. Piyada və velosipedlə həftədə işə gedib-gəlmək üçün cəmi neçə saat vaxt sərf edir?","Roque işə piyada getmək üçün həftədə 2*3 = <<2*3=6>>6 saat vaxt sərf edir. Roque işə piyada getmək üçün həftədə 6*2 = <<6*2=12>>12 saat vaxt sərf edir. Roque işə velosipedlə getmək üçün həftədə 1*2 = <<1*2=2>>2 saat vaxt sərf edir. Roque işə velosipedlə getmək üçün həftədə 2*2 = <<2*2=4>>4 saat vaxt sərf edir. Ümumilikdə, Roque işə getmək və qayıtmaq üçün həftədə 12+4 = <<12+4=16>>16 saat vaxt sərf edir. #### 16"
" Tim 5 iş gününün hər birində işə velosipedlə gedib-gəlir. Onun işi 20 mil uzaqlıqdadır. O, həmçinin həftəsonu 200 mil velosiped gəzintisinə çıxır. Əgər o, saatda 25 mil sürətlə velosiped sürə bilirsə, həftədə nə qədər velosiped sürər?"," O, işə hər gün 20*2=<<20*2=40>>40 mil velosiped sürür. Beləliklə, o, işə 40*5=<<40*5=200>>200 mil velosiped sürür. Bu o deməkdir ki, o, cəmi 200+200=<<200+200=400>>400 mil velosiped sürür. Beləliklə, o, işə cəmi 400/25=<<400/25=16>>16 saat velosiped sürür. #### 16"
"Bella poçt şöbəsindən markalar aldı. Markaların bəzilərində qar dənəsi dizaynı, bəzilərində yük maşını dizaynı, bəzilərində isə gül dizaynı var idi. Bella 11 qar dənəsi markası aldı. O, qar dənəsi markalarından 9 yük maşını markası çox, yük maşını markalarından isə 13 az gül markası aldı. Bella cəmi neçə marka aldı?", Yük maşını möhürlərinin sayı 11 + 9 = <<11+9=20>>20-dir. Gül möhürlərinin sayı 20 − 13 = <<20-13=7>>7-dir. Bella cəmi 11 + 20 + 7 = <<11+20+7=38>>38 möhür alıb. #### 38
" Hər quş gündə 12 böcək, hər ilan gündə 3 quş və hər yaquar gündə 5 ilan yeyir. Əgər meşədə 6 yaquar varsa, hər gün neçə böcək yeyilir?",Əvvəlcə yeyilən ilanların ümumi sayını tapın: 5 ilan/yaquar * 6 yaquar = <<5*6=30>>30 ilan Sonra gündə yeyilən quşların ümumi sayını tapın: 30 ilan * 3 quş/ilan = <<30*3=90>>90 ilan Sonra gündə yeyilən böcəklərin ümumi sayını tapmaq üçün ilanların sayını hər ilan başına düşən böcəklərin sayına vurun: 90 ilan * 12 böcək/ilan = <<90*12=1080>>1080 böcək #### 1080
" Samanthanın soyadında Bobbinin soyadından üç hərf azdır. Əgər Bobbinin soyadından iki hərf çıxarsaydı, onun soyadı Ceymi soyadından iki dəfə uzun olardı. Ceymi soyadının tam adı Ceymi Qreydir. Samanthanın soyadında neçə hərf var?"," Ceymi soyadında 4 hərf var, deməli, Bobbinin adı 4*2 +2 = <<4*2+2=10>>10 hərf uzunluğundadır. Samantanın soyadı Bobbinin soyadından 3 hərf qısadır, deməli, Samantanın soyadında 10 - 3 = <<10-3=7>>7 hərf var. #### 7"
"Ann-in ən sevdiyi mağaza yay endirimləri idi. O, 75 dollara hər biri 7 dollara 5 cüt şort və hər biri 10 dollara 2 cüt ayaqqabı aldı. O, həmçinin eyni qiymətə 4 köynək də aldı. Hər köynəyin qiyməti nə qədər idi?"," O, hər biri 7 dollardan 5 şort aldı, buna görə də 5*7=$<<5*7=35>>35 O, hər birini 10 dollardan 2 cüt ayaqqabı aldı, buna görə də 2*10=$<<2*10=20>>20 Şort və ayaqqabılar ona 35+20 = $<<35+20=55>>55 Bilirik ki, o, cəmi 75 dollar xərcləyib və şort və ayaqqabılar 55 dollara başa gəlib, bu da 75-55 = $<<75-55=20>>20 O, cəmi 20 dollara 4 köynək alıb, buna görə də 20/4 = $5 #### 5"
" Meri şənbə günü ərzaq alış-verişi edir. O, alış-verişi yalnız 100 dollar kreditə icazə verilən müəyyən bir mağazada edir və bu kredit növbəti alış-veriş səfərindən əvvəl tam ödənilməlidir. Həmin həftə o, bütün kredit limitini xərcləyib və çərşənbə axşamı 15 dollar, cümə axşamı isə 23 dollar ödəyib. Meri növbəti alış-veriş səfərindən əvvəl nə qədər kredit ödəməli olacaq?","İndiyə qədər Meri kreditin 15 dolları + 23 dolları=$<<15+23=38>>38 dollarını geri ödəyib. Deməli, o, hələ də 100-38 dolları=$<<100-38=62>>62 #### 62"
" Ralf tennis topu atıcısı ilə tennis oynamağı məşq edəcək. Bu maşın Ralfın vurması üçün tennis topu atır. O, maşını 175 tennis topu ilə doldurur. İlk 100 topdan 2/5-ni vurmağı bacarır. Növbəti 75 tennis topundan 1/3-ni vurmağı bacarır. Bütün tennis toplarından neçəsini vura bilmədi?"," İlk 100 topdan Ralf 2/5-ni vura bildi, 3/5-ni vura bilmədi, 3/5 x 100 = 60 tennis topu Ralf vura bilmədi. Növbəti 75 topdan Ralf 1/3-ni vura bildi, 2/3-ni vura bilmədi, 2/3 x 75 = Ralfın vura bilmədiyi 50 tennis topu. Ümumilikdə, Ralf 60 + 50 = <<60+50=110>>110 tennis topu Ralf vura bilmədi. #### 110"
"Cek səhra adasında qalıb. Balıqlarına duz qatmaq üçün bir az duz istəyir. Köhnə bir vedrəyə 2 litr dəniz suyu toplayır. Əgər suyun 20%-i duzdursa, bütün su buxarlananda Cek neçə ml duz alacaq?", Əvvəlcə dəniz suyunun neçə litrinin duz olduğunu tapın: 2 litr * 20% = <<2*20*.01=.4>>.4 litr Sonra bu miqdarı 1000 ml/litr-ə vurun və Cekin əldə etdiyi duz miqdarını tapın: .4 litr * 1000 ml/litr = <<.4*1000=400>>400 ml #### 400
" Brennan məktəb layihəsini araşdırırdı və istinad üçün istifadə etmək üçün internetdən kompüterinə fayl yükləməli oldu. 800 fayl yüklədikdən sonra, o, faydalı olmadığı üçün onların 70%-ni sildi. O, daha 400 fayl yüklədi, lakin yenə də onların 3/5-nin lazımsız olduğunu anladı. İkinci turda yüklədiyi əlaqəsiz faylları sildikdən sonra neçə dəyərli fayl qaldı?","Brennanın birinci turda yüklədiyi dəyərsiz faylların sayı 70/100*800 = <<70/100*800=560>>560 fayldır. Brennanın birinci turda yüklədiyi dəyərli faylların sayı 800-560 = <<800-560=240>>240-dır. O, 400 yeni fayl yüklədikdə, 3/5*400= <<3/5*400=240>>240 faydalı olmayan fayl var idi və o, onları yenidən sildi. İkinci turda yüklədiyi dəyərli faylların ümumi sayı 400-240 = <<400-240=160>>160-dır. Brennanın tədqiqatını yazmaq üçün istinad edəcəyi 160+240 = <<160+240=400>>400 faydalı faylı var idi. #### 400"
" Küçədə 5 ev var və ilk dörd evin hər birinin bağçasında 3 qnom var. Küçədə cəmi 20 qnom varsa, beşinci evdə neçə qnom var?"," İlk dörd evdə cəmi 4 ev var * 3 qnom = <<4*3=12>>12 qnom. Buna görə də, beşinci evdə cəmi 20 qnom var idi – 12 qnom = <<20-12=8>>8 qnom. #### 8"
"Xanım Snyder əvvəllər aylıq gəlirinin 40%-ni kirayə və kommunal xidmətlərə xərcləyirdi. Bu yaxınlarda onun maaşı 600 dollar artırıldı, ona görə də indi kirayə və kommunal xidmətlər aylıq gəlirinin yalnız 25%-ni təşkil edir. Əvvəlki aylıq gəliri nə qədər idi?"," Tutaq ki, onun əvvəlki aylıq gəliri p olsun. Onun kirayə haqqı və kommunal xərclərinin dəyəri p-nin 40%-ni təşkil edirdi ki, bu da (40/100)*p = 2p/5-dir. Onun gəliri 600 dollar artdığı üçün indi p+600-dür. Onun kirayə haqqı və kommunal xərclərinin dəyəri indi (p+600)-nin 25%-ni təşkil edir ki, bu da (25/100)*(p+600) = (p+600)/4-dür. Kirayə haqqı və kommunal xərcləri üçün hər iki ifadəni bərabərləşdirək: 2p/5 = (p+600)/4. Tənliyin hər iki tərəfini 20-yə vurmaqla 8p = 5p+3000 dollar alınır. Hər iki tərəfdən 5p-ni çıxdıqda aşağıdakı nəticə alınır: 3p = 3000 dollar. Hər iki tərəfi 3-ə bölməklə p = 1000 dollar alınır. #### 1000"
" Ann, Bill, Keyt və Deyl hər biri 4 hissəyə bölünmüş fərdi tava pizzaları alırlar. Əgər Bill və Deyl pizzalarının 50%-ni, Enn və Keyt isə pizzaların 75%-ni yeyirlərsə, neçə pizza parçası yeyilməmiş qalır?",Cəmi 4 x 4 = <<4*4=16>>16 pizza parçası var. Bill və Deyl 2 x 4 x 50% = <<2*4*50*.01=4>>4 ədəd yeyirlər. Ann və Keyt 2 x 4 x 75% = <<2*4*75*.01=6>>6 ədəd yeyirlər. Onlardan dördü 4 + 6 = <<4+6=10>>10 ədəd yeyirlər. 16 - 10 = <<16-10=6>>6 yeyilməmiş pizza parçası var. #### 6
" Noah rəssamdır. O, rəsmlər çəkir və parkda satır. Böyük bir rəsm üçün 60 dollar, kiçik bir rəsm üçün isə 30 dollar alır. Keçən ay səkkiz böyük və dörd kiçik rəsm satdı. Əgər bu ay iki dəfə çox satıbsa, bu ay üçün satışları nə qədərdir?"," Noah böyük rəsmlər üçün 60 dollar x 8 böyük rəsm = 480 dollar qazandı. O, həmçinin kiçik rəsmlər üçün 30 dollar x 4 kiçik rəsm = 120 dollar qazandı. Keçən ay onun ümumi satışları 480 dollar + 120 dollar = 480 dollar + 120 dollar = 600 dollar idi. Beləliklə, bu ay onun satışları 600 dollar x 2 = 600 dollar * 2 = 1200 dollar. #### 1200"
"Bir avtomobil çoxlu dönüşlü tuneldən keçir. Bir müddət sonra avtomobil cəmi 4 sağa dönüş tələb edən halqadan keçməlidir. 1-ci dönüşdən sonra 5 metr, 2-ci dönüşdən sonra 8 metr, 3-cü dönüşdən sonra bir az daha irəli gedir və 4-cü dönüşdə dərhal tuneldən çıxır. Əgər avtomobil halqanın ətrafında cəmi 23 metr sürübsə, 3-cü dönüşdən sonra nə qədər məsafə qət etməli olub?"," Verilən məlumatlara əsasən, avtomobil 1-ci döngədə 5 metr + 2-ci döngədən sonra 8 metr + 4-cü döngədən sonra 0 metr = <<5+8+0=13>>halqa ətrafında 13 metr məsafə qət edib. Buna görə də, avtomobil cəmi 23 metr məsafə qət edib - 13 hesablanmış metr = 3-cü döngədən sonra 10 metr. #### 10"
"Kimberin pizza hazırlamaq üçün digər inqrediyentlərlə birlikdə 10 stəkan su, 16 stəkan un və stəkan un sayından 1/2 dəfə çox çay qaşığı duza ehtiyacı var. Pizzanı hazırlamaq üçün lazım olan stəkan su, un və çay qaşığı duzun ümumi sayını hesablayın."," Pizza hazırlamaq üçün Kimber stəkan un sayından iki dəfə az çay qaşığı duz istifadə edir, yəni ona 1/2*16 = <<16*1/2=8>>8 çay qaşığı duz lazımdır. Onun ehtiyac duyduğu stəkan un və çay qaşığı duzun ümumi sayı 8+16 = <<8+16=24>>24-dür. Onun həmçinin 10 stəkan suya ehtiyacı var, yəni onun ehtiyac duyduğu stəkan su, un və çay qaşığı duzun ümumi sayı 24+10 = <<24+10=34>>34 #### 34"
" Cənab Sem müəyyən miqdarda pulu iki oğlu Ken və Toni arasında bölüşdürürdü. Əgər Ken 1750 dollar, Toni isə Kendən iki dəfə çox pul almışdısa, pul nə qədər bölüşdürülürdü?","Toni iki dəfə 1750 dollar qazandı, bu da 2*1750 dollar = $<<2*1750=3500>>3500-ə bərabərdir. Paylaşılan ümumi məbləğ $1750+3500 = $<<1750+3500=5250>>5250 #### 5250"
" Cənab Sançez 5-ci sinif şagirdlərinin 40%-nin yekun qiymətini B-dən aşağı aldığını aşkar etdi. Əgər 5-ci sinifdə 60 şagirdi varsa, neçə şagirdi B və daha yüksək yekun qiyməti almışdır?"," Onun şagirdlərinin 40%-i B-dən aşağı qiymət aldığı üçün cənab Sançezin şagirdlərinin 100% - 40% = 60%-i B və daha yüksək qiymət alıb. Beləliklə, 60 x 60/100 = <<60*60/100=36>>36 şagird yekun qiymətlərində B və daha yüksək qiymət alıb. #### 36"
" Lisa, Cek və Tommi bütün həftə maşın yumaqdan 60 dollar qazandılar. Lakin 60 dolların yarısını Lisa qazandı. Tommi Lisanın qazandığı pulun yarısını qazandı. Lisa Tommidən nə qədər çox pul qazandı?", Lisa 60 dollar * 1/2 = $<<60*1/2=30>>30 qazandı. Tommi 30 dollar * 1/2 = $<<30*1/2=15>>15 qazandı. Lisa Tommidən 30 - 15 dollar = $<<30-15=15>>15 dollar çox qazandı. #### 15
"Beş dost fast food şəbəkəsində yemək yeyir və aşağıdakıları sifariş edirlər: hər biri 3 dollara olan 5 ədəd hamburger; 1.20 dollara olan 4 dəst kartof qızartması; hər biri 0.5 dollara olan 5 stəkan qazlı içki; və 2.7 dollara olan 1 boşqab spagetti. Hesabı bərabər bölsələr, hər biri nə qədər ödəyəcək?"," 5 ədəd hamburgerin qiyməti 3 dollar x 5 = $<<3*5=15>>15-dir. 4 dəst kartof qızartmasının qiyməti 1.20 dollar x 4 = $<<1.20*4=4.80>>4.80-dir. 5 stəkan qazlı içkinin qiyməti 0.5 dollar x 5 = $<<0.5*5=2.50>>2.50-dir. Beləliklə, onların ümumi hesabı 15 dollar + 4.80 dollar + 2.50 dollar + 2.7 dollar = $<<15+4.8+2.5+2.7=25>>25-dir. Beləliklə, beş dostun hər biri 25 dollar/5 dollar = $<<25/5=5>>5 ianə edəcək. #### 5"
" Artemis bir məclis üçün çay dəmləyir. O bilir ki, anası 8 unsiyalıq fincan çay içir və bir unsiya çay istifadə edir. O, məclis üçün də eyni nisbətdən istifadə edəcək. Məclisdə 12 nəfər var və onların hər biri 6 unsiyalıq fincan çay istəyir. Ona neçə unsiya çay lazımdır?","O, 72 unsiya su hazırlayır, çünki 12 x 6 = <<12*6=72>>72 Onun 9 unsiya çaya ehtiyacı var, çünki 72 / 8 = <<72/8=9>>9 #### 9"
" Anna hər evdən 14 ədəd konfet aldığı bir məhəllədə fırıldaqçılıq edir. Qardaşı Billi qonşu məhəllədə fırıldaqçılıq edir və hər evdən 11 ədəd konfet alır. Əgər birinci məhəllədə 60 ev, ikinci məhəllədə isə 75 ev varsa, Anna daha neçə konfet alır?", Əvvəlcə Annanın aldığı konfet parçalarının ümumi sayını tapın: 14 ədəd/ev * 60 ev = 840 ədəd. Sonra Billinin aldığı konfet parçalarının ümumi sayını tapın: 11 ədəd/ev * 75 ev = <<11*75=825>>825 ədəd. Sonra fərqi tapmaq üçün Annanın aldığı ədəddən Billinin aldığı ədədlərin sayını çıxın: 840 ədəd - 825 ədəd = <<840-825=15>>15 ədəd #### 15
Konsert biletinin qiyməti 40 dollardır. Cənab Benson 12 bilet alıb və 10-dan çox alınan hər bilet üçün 5% endirim alıb. Cənab Benson cəmi nə qədər pul ödəyib?," Cənab Benson 12 - 10 = <<12-10=2>>2 biletin hər biri üçün 5% endirim əldə etdi. Beləliklə, həmin iki biletin hər birində 40 dollar x 5/100 = $<<40*5/100=2>>2 endirim var idi. Beləliklə, hər biletin qiyməti 40 dollar - $2 = $<<40-2=38>>38 idi. Beləliklə, iki endirimli biletin qiyməti 38 dollar x 2 = $<<38*2=76>>76-dır. Digər on biletin qiyməti isə 40 dollar x 10 = $<<40*10=400>>400-dür. Beləliklə, cənab Benson cəmi 400 dollar + 76 dollar = $<<400+76=476>>476 ödəyib. #### 476"
